id,iterations,layers,qubits,batch_size,time,cpu,memory
1,10,1,2,16,7.586078882217407,15.0,57.1
2,10,1,2,32,8.402771949768066,14.55,57.25
3,10,1,4,16,7.5295281410217285,22.5,57.400000000000006
4,10,1,4,32,8.457726001739502,21.6,57.25
5,10,1,6,16,7.586107969284058,19.55,57.1
6,10,1,6,32,8.428311109542847,19.299999999999997,57.1
7,10,2,2,16,8.903589010238647,22.299999999999997,57.2
8,10,2,2,32,10.217164039611816,17.6,57.0
9,10,2,4,16,8.882791996002197,22.549999999999997,57.25
10,10,2,4,32,10.276114225387573,28.6,57.7
11,10,2,6,16,8.960674047470093,19.200000000000003,57.35
12,10,2,6,32,10.391567945480347,24.25,57.099999999999994
13,10,4,2,16,11.595459699630737,21.35,57.5
14,10,4,2,32,14.015063047409058,20.35,57.15
15,10,4,4,16,11.366872072219849,16.4,56.9
16,10,4,4,32,13.94548511505127,14.4,56.8
17,10,4,6,16,11.719303131103516,16.95,57.1
18,10,4,6,32,13.936583757400513,25.9,57.0
19,10,6,2,16,14.229287147521973,20.799999999999997,56.95
20,10,6,2,32,17.721781969070435,23.2,56.9
21,10,6,4,16,15.041978120803833,26.049999999999997,56.95
22,10,6,4,32,17.846134901046753,21.85,56.650000000000006
23,10,6,6,16,14.43479609489441,25.75,56.8
24,10,6,6,32,18.104689836502075,24.0,56.7
25,20,1,2,16,11.266730308532715,30.799999999999997,56.7
26,20,1,2,32,13.000026941299438,28.25,56.650000000000006
27,20,1,4,16,11.293409824371338,27.799999999999997,56.7
28,20,1,4,32,12.891175985336304,25.799999999999997,57.2
29,20,1,6,16,11.064487218856812,22.700000000000003,56.85
30,20,1,6,32,12.751453876495361,19.65,56.75
31,20,2,2,16,13.653775930404663,20.549999999999997,56.7
32,20,2,2,32,16.397159814834595,20.1,56.650000000000006
33,20,2,4,16,13.706210851669312,20.75,56.7
34,20,2,4,32,16.406872034072876,26.0,57.2
35,20,2,6,16,13.862046003341675,23.4,57.05
36,20,2,6,32,16.39081597328186,21.4,56.75
37,20,4,2,16,19.058556079864502,22.45,56.75
38,20,4,2,32,23.898121118545532,21.15,56.75
39,20,4,4,16,18.97939920425415,20.2,56.7
40,20,4,4,32,23.877293825149536,20.299999999999997,56.6
41,20,4,6,16,19.028162002563477,22.25,56.650000000000006
42,20,4,6,32,23.92507791519165,25.15,56.650000000000006
43,20,6,2,16,24.46100401878357,30.45,56.7
44,20,6,2,32,31.496145963668823,26.25,56.8
45,20,6,4,16,24.409065008163452,27.6,56.9
46,20,6,4,32,31.53501582145691,35.0,56.85
47,20,6,6,16,24.34417200088501,30.650000000000002,57.05
48,20,6,6,32,31.261003017425537,26.85,56.849999999999994
